sentiment,text
neutral,"the value of the order is eur 700 , 000"
negative,"konecranes has previously communicated an estimated reduction of about 1 , 600 employees on group level in 2009"
neutral,"as previously announced , geosentric oyj entered into financing agreements with its lead investor on june 30 , 2010 enabling the company to receive financing up to the aggregate amount of 6 m"
neutral,"loudeye corp. , up $ 2.56 at $ 4.33 nokia corp. , down 10 cents at $ 19.46 nokia agreed to buy the digital music distributor for $ 60 million"
positive,"the total delivery volume of paper businesses in 2010 was 1 , 155 , 000 tonnes , up from 1 , 132 , 000 tonnes in 2009"
neutral,"the company targets sales of ls 27.1 mn ( ls 23.498 mn ) and a profit of ls 300 , 000 ( ls 371 , 500 ) in 2007"
positive,"we hope to increase traffic volumes with the opening of freight one scandinavia . @ positive a january 11 , 2010 ephc board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share"
neutral,"capman s first real estate fund , which had a total investment capacity of ( euro ) 500 million and closed in june 2005 , invested in commercial properties in the helsinki metropolitan area"
positive,"this contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing"
positive,"we are delighted to welcome elisa to our board of directors , said garry mcguire , ceo of rmg networks"
negative,"national conciliator juhani salonius , who met both parties on wednesday , said they were too far apart in their views for him to propose mediation"
positive,3 january 2011 - finnish flag carrier finnair oyj ( hel : fia 1 s ) said today it sealed a nine-year sale and leaseback agreement for its newest airbus a 330 aircraft for syndication into the japanese operating lease market
neutral,"the transaction , which includes us $ 1.5 billion euro 1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the finnish-swedish paper maker said"
neutral,"the most important export markets are norway , germany , russia and france"
neutral,"it started with software that was capable of retrieving the data typed into the computer keyboard ( keyloggers ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming"
neutral,"jensen , njastein and mike critch , the head of dovre north america business unit , will report to toivola"
positive,"however , he expects banks to provide alternative financing"
positive,"consolidated operating_profit excluding one-off items was eur 30.6 mn , up from eur 29.6 mn a year earlier"
neutral,the bank s leasing arm nordea liising ended the year with a profit of 4.4 million euros
positive,"production capacity will rise gradually from 170 , 000 tonnes to 215 , 000 tonnes"
neutral,"we went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8 th"
neutral,sales fell abroad but increased in finland
neutral,"the operator is one of 6 operators to have been granted a wimax license in taiwan , and hopes to be the first to launch commercial services in early 2009"
positive,"russia s top container shipping group , fesco , and finnish logistics company nurminen logistics have started a pilot project offering clients direct intermodal transportation service from finland to asia pacific countries , fesco said in a statement"
positive,"lee & man paper and metso have a long and prosperous co-operation , a good example of which are the changshu and hongmei kraftliner machines delivered earlier"
positive,"in the second quarter of 2010 , the company s net profit was eur 1.7 m compared to a net_loss of eur 1.3 m in april-june 2009"
neutral,"honka s subsidiaries in france and germany will also benefit by , for example , arranging customer events in conjunction with world cup skiing competitions"
neutral,"this will be done domestically and in neighboring markets , both organically and through acquisitions"
neutral,the sellers were the founders of the company
neutral,"about midnighttrader : midnighttrader is the premier source of extended-hours us equity trading analysis , news and forecasting for the retail and institutional investment community"
neutral,nordic walking was first used as a summer training method by cross-country skiers
neutral,the proposal that the board of directors will make at the annual general meeting is attached as a whole to this release
positive,"according to ceo kai telanne , the company s newspapers achieved the best financial result ever"
positive,"both operating_profit and net_sales for the six-month period increased , respectively , from eur 13.8 m and eur 143.6 m , as compared to the corresponding period in 2007"
neutral,"in 2006 , 452 million tonnes co 2 of eua ( eu allowance ; emissions credit in eu ) was traded with an underlying market value approx"
neutral,"according to the act , universities can now acquire private funding"
neutral,"according to statistics by the finnish maritime administration , shipping did not increase much in january-august 2009 , however"
neutral,it is planned to set up the a class business center in the two top storeys of the complex
positive,operating_profit increased to eur 14.0 mn from eur 4.9 mn in the corresponding period in 2005
neutral,it has been agreed with the company s board of directors that she will be available in an advisory role
neutral,"outotec s delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1 , 600 tons of alumina per day"
neutral,ahlstrom s share is quoted on the nasdaq omx helsinki
positive,"in the homeware area , fiskars provides leading branded products for home , kitchen , and interior design"
positive,"biohit and vwr have been in close cooperation for a number of years in the us , where biohit is one of vwr s focus suppliers"
neutral,"metsa-botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the uruguay operations , and shares in pohjolan voima , and by utilising its existing financing facilities"
neutral,pharmaceutical market in poland global research & data services published recently a market analysis about the pharmaceutical markets in poland
neutral,kershaw takes up the position with immediate effect from her previous role as marketing manager of sankey home & garden products
neutral,"salcomp s charger manufacturing plant in india is located in the nokia telecom park in the state of tamil nadu , in the eastern part of india"
neutral,the bond has a value of eur 150 m and a maturity of 4 years
neutral,the swedish player became majority owner of ucell in mid- 2007
positive,"the item included restructuring costs of eur 1.6 m , while a year earlier they were eur 13.1 m. diluted eps stood at eur 0.3 versus a loss per share of eur 0.1"
positive,"we are very excited working with maxis on this first commercial deployment of master of maya , said joe doering , head of the asia south region at nokia siemens networks"
negative,the first ship has been delayed and is estimated to be completed in spring 2010
neutral,"aspocomp group oyj stock exchange release december 15 , 2006 at 4 : 50 pm according to the disclosure received today by aspocomp group oyj , the share of henrik nyberg in aspocomp group oyj s share capital and votes has decreased below 5 percent"
positive,the company will enhance the gprs capability in the existing 12 idea telecom service areas and add 10 more service areas to its network
neutral,"the utility will also provide services related to electricity management , such as hedging trades and risk management and reporting"
neutral,"after the transaction , tikkurila has no powder coatings related operations"
negative,"the company s profit totaled ls 578 , 100 in h 12007 , down 30.9 % year-on-year"
neutral,finland-based international machinery rental company ramirent plc ( omx helsinki : rmr 1 v ) reported on friday ( 15 august ) an operating_profit of eur 65.0 m on net_sales of eur 342.9 m for the period january-june 2008
neutral,"finnish bank pohjola bank plc hel : poh 1 s said today that it will issue a eur 40 million usd 51.2 m index-linked bond , pohjola tutkimuksen tahdet viii- 2010 pohjola research stars viii- 2010 , on october 27 , 2010"
positive,the buy recommendation was reiterated
positive,"finnish construction group lemminkainen oyj hel : lem 1 s said today it has won a contract to provide technical services for the nevsky centre shopping mall to be opened in november in st petersburg , russia"
neutral,"a total of 1 , 800 , 000 stock options were issued in the 2003 stock option scheme"
negative,"( adpnews ) - may 4 , 2010 - finnish cutlery and hand tools maker fiskars oyj abp ( hel : fisas ) said today its net profit declined to eur 12.9 million ( usd 17 m ) in the first quarter of 2010 from eur 17 million in the correspond @ negative ( adpnews ) - oct 21 , 2009 - finland-based it consultancy tieto oyj ( hel : tie 1 v ) said today its net profit plunged to eur 29.4 million ( usd 43.9 m ) for the first nine months of 2009 from eur 58.7 million for the same period o @ negative market_share decreased on the route between helsinki in finland and tallinn in estonia by 0.1 percentage points to 24.8 %"
neutral,name of company in which holdings have been acquired : citycon oyj 2
positive,operating_profit excluding restructuring costs grew to eur 44.5 million from eur 31.7 million while operating_profit including restructuring costs showed even larger growth to eur 38.5 million from eur 7.4 million
positive,airbus has 100 firm orders for the a 350 and 89 nonbinding commitments
positive,"finnish construction company yit oyj said on november 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company tapiola real estate oy"
neutral,rihko started to manage raisio s benecol business in summer 2006 after heading tobacco company altadis european operations
neutral,the total value of the deliveries is some eur 65 m
positive,- upm-kymmene upgraded to in-line from underperform by goldman sachs
neutral,"the chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer precor to slash prices"
neutral,"the polish business employs about 1 , 000 people , and it had net_sales of about eur 70 mn in 2007"
neutral,"the finland-based company says it will move into an existing 260 , 000 -square-foot facility in september"
positive,"according to a-rehu s managing director , jouko lahtinen , the project will stabilise costs and improve supply security"
neutral,no financial detail were available
positive,"we warmly welcome him to satama , states jussi lansio , chairman of the board"
positive,diluted eps rose to eur 3.68 from eur 0.50
negative,"scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in oulu , in finland , to lay off staff temporarily"
neutral,"pulkovo park will be ready in 2016 , its first stage of 23 , 000 sq . m. will be finished in the first quarter of 2010"
neutral,"the executive said that countries such as brazil , chile , argentina and mexico will lead the adoption in the business ethernet services segment , while brazil and mexico will be the early adopters of carrier ethernet for mobile backhaul"
positive,"finnish broadband data communication systems provider teleste oyj hel : tlt 1 v said yesterday it returned to a net profit of eur 2.7 million usd 3.8 m for the first nine months of 2010 versus a net_loss of eur 579 , 000 for the same period of 2009"
neutral,"neste oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in june 2009 , have been promising , no decision on a commercial plant has been taken"
positive,"we re delighted with the move says morna cowie , co-owner , above , it s double the size of our current shop and has a lovely feel to it . @ positive after a long , unprofitable period the food division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , rihko said"
positive,"ebitda for the year 2009 improved to eur 484 m , as compared with eur 472 m in 2008"
neutral,the new unit is a major investment in the finnish media scene
positive,"the money will be spent on strengthening the company s competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in russia , the release says"
positive,ramirent is a leading company in machinery and equipment rentals for construction and industry
neutral,pharmaceuticals - spain this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in spain
neutral,"it is part of the development of the world-class magnetite deposit at karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30 -year life"
neutral,"sarantel , based in wellingborough , uk , designs high-performance antennas for portable wireless devices"
positive,operating_profit improved to eur 20.3 mn from eur 11.4 mn
neutral,"helsinki 19 may 2010 - finnish company lemminkainen oyj ( hel : lem 1 s ) said today that it will construct an office building at toolonlahti in downtown helsinki , without disclosing financial details"
neutral,"the sale of savcor face to cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates"
neutral,"ahlstrom corporation stock exchange release 13.02 .2008 ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of friend group inc. , which consists of west carrollton parchment company and west carrollton converting company"
positive,"it provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization"
positive,"net_sales went up by 1 % year-on-year to eur 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was eur 5.1 million on the review period"
neutral,glaston also has efficiency measures in all other units
neutral,"following the divestment , fiskars s outdoor unit will comprise the brands gerber , silva and buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats"
neutral,"in the video above marimekko s design manager , noora niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style"
neutral,"laavainen said benecol was well known in europe and the us , where it had been in the market for 15 years"
negative,"operating_profit totaled eur 6.7 mn , down from eur 7.2 mn in the corresponding period in 2005"
negative,"thanks to the internet , consumers compare products more than previously and finnish companies are not competitive"
neutral,"srv will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena"
positive,"finnish telecoms software developer tecnomen oyj said on december 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of brasil telecom"
positive,"its board of directors will propose a dividend of eur 0.12 per share for 2010 , up from the eur 0.08 per share paid in 2009"
positive,nordea group s operating_profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros
neutral,vaisala s expertise in lightning data and information systems is based on extensive experience and investment in r & d
neutral,"we respect their decision ... the discussions are now closed , said kai telanne , alma media s ceo"
neutral,the net_sales of healthcare trade business in 2009 were eur 145.1 million eur 155.2 million and operating_profit eur 8.9 million eur 7.9 million
positive,"operating_profit totalled eur 21.1 mn , up from eur 18.6 mn in 2007 , representing 9.7 % of net_sales"
neutral,"the record date for dividend distribution is march 14 , 2008"
neutral,"a worm set to activate friday will corrupt documents using the most common file types , including"
positive,lean system supports change management and component purchasing extremely well
neutral,protalix is developing genetically engineered proteins from plant cells
neutral,"according to tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it"
positive,finnish fibers and plastic products maker suominen corporation said its net_loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005
neutral,other details were not provided
neutral,vnh generates annual net_sales of about 5 mln eur and employs 21 people
neutral,"the company operates a u.s. division in lisle , ill ."
neutral,altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention
positive,"pearl plaza llc , the joint_venture of srv and shanghai industrial investment holdings co ltd , has concluded the investment decision on construction of the first phase of the shopping center in saint petersburg , russia"
neutral,it offers advanced machinery maintenance and process development services to the pulp and paper industry in northern china
neutral,"it holds 38 percent of outokumpu s shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent"
neutral,"ahlstrom corporation stock exchange announcement 7.2 .2007 at 10.30 a total of 56 , 955 new shares of ahlstrom corporation have been subscribed with option rights under the company s stock option programs i 2001 and ii 2001"
neutral,tietoenator signed an agreement to acquire indian research and development ( r & d ) services provider and turnkey software solutions developer fortuna technologies pvt . ltd. for 21 mln euro ( $ 30.3 mln ) in september 2007
neutral,abn : 59087 901620 now represent 5.10 % of the voting rights and share capital of citycon oyj
positive,"meanwhile , nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout"
neutral,"the company had net_sales of eur 10.8 million in 2008 , and today has approximately 120 employees in finland , estonia and poland"
negative,"tietoenator was down 1.13 pct to 18.38 , extending recent lows after last week s second-quarter report , dealers said"
positive,consumption is forecast to grow by about 2 %
neutral,to raise consumer awareness and encourage people to recycle their old mobile devices nokia runs regular recycling campaigns around the world
neutral,the company s board of directors would propose a dividend of eur 0.15 per share for 2005
positive,the pipeline is strong
negative,finnish forest industry group stora enso oyj issued on thursday ( 20 march ) a profit warning for the first quarter 2008
neutral,"finnish real estate investor sponda plc said on wednesday 12 march that it has signed agreements with danske bank a-s , helsinki branch for a 7 -year eur 150 m credit facility and with ilmarinen mutual pension insurance company for a 7 -year eur 50 m credit facility"
negative,"the prosecutor is also demanding outokumpu pay a fine of eur 800 , 000 at most"
positive,"kalnapilio-tauro grupe ( kalnapilis-tauras group ) , which is owned by denmark s royal unibrew , raised its market_share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters"
positive,"under the terms of the off-take agreement with talvivaara , cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit"
neutral,and that s exactly what happened on a recent weekday when an east haven baker was brought in to remind residents about the easter tradition of making wheat and rice pies
neutral,cymed s net_sales are expected to amount to eur 3.5 mn in 2006
neutral,homeowners across north america have green experiences to share from cost savings to clean and eco-friendly heating
neutral,net_sales in 2007 totalled eur 329 million and the operating margin was above 19 %
neutral,"construction work on the helsinki music centre is to start this autumn , with the total cost of the project estimated at 140 million euros"
neutral,the lay-offs will start gradually and will last from one to six weeks
positive,"the company s scheduled traffic , measured in revenue passenger kilometres rpk , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in february 2009"
neutral,london afx - fortum said it has agreed to sell its industrial maintenance service operations to funds managed by capman for an undisclosed sum
negative,"- the group s sales during the period were eur 37.5 million ( eur 48.2 million , 1-9 2008 ) and result before taxes was a loss of eur -3.5 ( +1.2 ) million"
neutral,dragonfly love is another video shot from start to finish using the nokia n 8
neutral,"welcome ! @ neutral you need to be ready when the window opens up , rosberg said"
positive,operating_profit rose to eur 5 mn from eur 2.8 mn in the fourth quarter of 2008
positive,sanoma magazines finland s net_sales grew to eur 140.1 mn from eur 131.8 mn
positive,"finnish silicon wafer technology company okmetic oyj omx helsinki : okm 1 v reported on thursday 30 october an operating_profit of eur 7.4 m for january-september 2008 , up from eur 6.1 m in the corresponding period in 2007"
neutral,the insolvency act regulates the amount of debt that borrowers are permitted to write off
neutral,"koduextra is operating a retail chain of 11 stores , controlled by finnish non-food center ky , rukax oy , and scan-tukka oy"
positive,ruukki s order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter
positive,finnish consumer packaging manufacturer huhtamaki oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net_loss of 2.6 mln euro $ 3.3 mln in the same period of 2005
negative,the net_sales of the whole fiscal year 2008 will be lower than in 2007 and operating_profit is estimated to be negative
neutral,"one can also apply for jobs directly from the ipad , select which cv to attach and which covering letter is most appropriate for each position"
neutral,"the total value of the order , placed by aspo marine transportation subsidiary esl shipping oy , is eur 60 million ( usd 77.5 m )"
neutral,the reductions will be implemented mainly in the course of the first half of 2009
neutral,"apartments of yit home may be purchased in 5 regions of russia , where yit subsidiaries carry out their activities : moscow and moscow region , st. petersburg , ekaterinburg , kazan and rostov-on-don"
neutral,"the hayward , calif.-based target designs active , casual and dress footwear , as well as boots and sandals"
neutral,pharmaceutical market in belgium global research & data services published recently a market analysis about the pharmaceutical markets in belgium
neutral,the agreement must be approved by the russian competition authorities before it enters into force
neutral,"outotec s scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners"
neutral,"these include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , ebrd informed"
positive,"operating_profit for the nine-month period increased from eur 13.6 m , while net_sales increased from eur 394.7 m , as compared to the corresponding period in 2005"
neutral,"operating_profit for the 12 -month period decreased from eur 9.6 m while net_sales increased from eur 69.0 m , as compared to 2005"
neutral,"product deliveries will not be interrupted , the refiner said , giving no financial details"
negative,upm stock fell 3 percent to euro 12.49 $ 17.24 in early afternoon trading in helsinki
neutral,total two offers were received by contracting authority for participating in this contract ; however the contract was allotted to affecto finland oy
neutral,"nordea s definitely too big for sampo to acquire , said an analyst but sampo would appear to have an agenda for nordea ahead of the privatisation"
neutral,the duration of the lay-offs per employee will vary from one to six weeks
neutral,during the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts
negative,"the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily postimees reported"
positive,"( adp news ) - feb 11 , 2009 - finnish management software solutions provider ixonos oyj ( hel : xns 1 v ) said today its net profit rose to eur 3.5 million ( usd 4.5 m ) for 2008 from eur 3.1 million for 2007"
positive,combining this deep domain expertise with our application service management asm and outsourcing service offerings has now proved to be a winning combination
positive,"vaahto , which has entered the deal via its subsidiary vaahto pulp & paper machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011"
positive,"the shopping center to be opened in st. petersburg , russia in november 2010 will turn the cash_flow of finnish department store chain stockmann s russian operations positive for the first time in 2011"
neutral,it includes options for additional 30 communal building sites as well as construction supervision works for all construction sites
negative,the employment contracts of 14 of the employees will end in march 2009 as a result of the company s previous employer-employee talks
neutral,"enclosed is affecto s call for extraordinary general meeting to be held on july 10 th where the main agenda is to approve the authorization to the board for the proposed share issue related to the component software acquisition , and to elect haakon skaarer to the affecto board"
neutral,no financial details of the deployment were disclosed
neutral,finnish plumbing and heating systems supplier uponor announced a company-wide cost reduction program in august 2008
neutral,this corresponds to 6.81 percent of okmetic s share capital and voting rights
neutral,the company plans to spend the proceeds from the rights offering for strengthening its balance sheet
neutral,"today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them"
neutral,eriikka s+ derstr+ m has previously held several positions in finance and control at nokia networks including acting as the business group controller and having the corporate controller position at nokia siemens networks
neutral,national sponsors for the big read include national endowment for the arts in cooperation with the institute of museum and library services and arts midwest
neutral,"they are responsible for their own operations , customer relationships , and the development of these"
positive,"in addition , cramo and peab have signed exclusive five-year rental agreements in finland and have extended their existing rental agreements in the swedish market for another five years"
positive,"finnish it solutions provider affecto oyj said today that it has won a frame contract , valued at some eur 2 m , to implement the next phase of its insurance application for south african mutual & federal insurance company limited m & f"
neutral,nokia and capcom announced that resident evil degeneration will be released on n-gage later this year
neutral,finnish department store group stockmann is planning to acquire about eur 141 mn through a directed issue and a rights offering
neutral,"finnish ac drives manufacturer vacon is acquiring the ac drives business of tb wood s , part of the us group altra holdings"
neutral,the company turnover amounted to meur 27.9 in 2007
neutral,"the point village , designed by scott tallon walker , will include a shopping center , office premises , a hotel and a cinema"
positive,pretax profit rose to eur 0.6 mn from eur 0.4 mn in the corresponding period in 2005
positive,"both operating_profit and turnover for the three-month period increased , respectively from eur 0.9 m and eur 8.3 m , as compared to the corresponding period in 2005"
neutral,latvia s stockmann shopping mall is a subsidiary of finland s stockmann plc .
positive,operating_profit margin increased from 11.2 % to 11.7 %
neutral,"previously , it projected the figure to be slightly lower than in 2009"
neutral,"this action follows personnel negotiations concerning elcoteq se , finnish branch , elcoteq finland oy and elcoteq design center oy"
neutral,south america and asia are other promising markets
negative,"pretax loss totaled eur 1.2 mn , down from a profit of eur 2.1 mn in 2004"
neutral,"customers wave cards in front of the reader to make payments , similar to touch and go cards used in transport systems"
neutral,"founded in 1985 , quatrocon s clientele consists of public sector builders , central trading companies and major construction firms"
neutral,"steve jackson , ebusiness analyst at satama and former ceo of aboavista said : google broke the mold when they gave away google analytics for free"
positive,"the transaction will have a positive impact of around eur 2 m on earnings , which ruukki will recognize during the fourth quarter of this year"
neutral,sanoma will continue to focus on investing in digital media and on strengthening its market positions
neutral,"z. bavelloni s long-standing md , dino bavelloni , has retired at the end of 2005"
positive,one attractive factor about the tablets for media companies is that they provide a new way of making money
neutral,pentik+ inen emphasises that the most of the internet contents media houses provide can not be free forever
positive,the group will expand the chain to include 45 stores
positive,all of raisio s divisions recorded an operating_profit
negative,pretax loss totaled eur 117 mn compared to a loss of eur 65 mn in the corresponding period
neutral,"due to pirkka beer , olvi s brewery in iisalmi is moving to 7 -day , 24 -hour work shifts"
positive,"the financial impact is estimated to be some 1.5 meur annual improvement in the division s result , starting from fiscal year 2007"
neutral,"later on , about 150 finnish-made houses will be build in the area"
negative,net_sales fell by 5 % from the previous accounting period
positive,demand was brisk as expected and order levels have remained high
neutral,"the eb tough voip field phone is equipped with an integrated speaker , ethernet and shdsl connectivity , and enables several innovative applications"
positive,"helsinki ( thomson financial ) - kone said it has won four orders in saudi arabia , united arab emirates and qatar worth 40 mln eur"
neutral,"most recently , he founded virent energy systems , inc. , an 80 person catalytic biofuels company , where , as president and ceo , he led the company through multiple financings , defined the company s market strategy , and secured the company s first customers"
neutral,"alma media holds 70 % of this company , the remaining shares being owned by the company s key employees"
neutral,"auburn s sales in 2007 were cad 41 million ( approximately eur 27 million ) , and the company employs some 150 people"
positive,by separating side businesses we will be able to faster expand and develop tapro retail network
neutral,"also ruukki construction , rautaruukki s construction division , is initiating employer-employee negotiations at its sites in alaj+ rvi , vimpeli and per+ sein+ joki in finland"
negative,arcelormittal chief executive officer lakshmi mittal has already cut output at some furnaces
neutral,"the company s profit totaled ls 134 , 700"
neutral,"according to the report , elisa s and dna s joint market_share of finland s telecom market is 59 %"
positive,"according to nordic financial group nordea s analyst sami sarkamies , this makes nokia s portfolio competitive again"
neutral,"marimekko makes all sorts of colorful little impulse buys umbrellas , baby bibs , change purses and they re all for sale , the better to take advantage of shoppers who ca n t commit to furniture but want a piece of the action"
neutral,the initial estimated total value was 1744900 eur and the final award value was 1744900 eur
positive,"svyturys-utenos alus , which is controlled by the nordic group baltic beverages holding ( bbh ) , posted a 6.1 percent growth in beer sales for january-september to 101.99 million liters"
neutral,to see a slide show of all the newest product releases from fiskars
positive,the operating_profit for grain trading increased to eur 2.0 mn from eur 1.4 mn in 2005
positive,upm-kymmene has generated thirty-one consecutive quarters of positive ebitda
neutral,"we are adjusting to the present situation by cutting our capacity and costs without , however , jeopardising our asia strategy over the longer term"
neutral,pharmaceuticals - italy this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in italy
neutral,"fortum is looking to invest in several new production units , including a new waste-fired unit at its brista combined heat and power ( chp ) plant and a biofuels-based production unit at vartan chp plant"
neutral,"the apple inc. iphone wo n t change the game plan for verizon communications inc. , chief executive ivan seidenberg said wednesday"
negative,"nordic banks have already had to write off sizable loans in latvia , with swedbank , nordea , dnb nor and seb reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in latvia"
neutral,"prothious engineering ( www.prothious.com ) employs more than 1 , 000 and has a large portfolio of projects and an annual detailing capacity of more than 100 , 000 tonnes"
neutral,the fair value of capman plc s own investments on 30 september 2008 amounted to meur 59.8
neutral,"through its partnership with finnish paulig s danish subsidiary oscar , puljonki acquired a sales organization in the european market"
negative,"operating_loss totaled eur 0.8 mn , compared to a profit of eur 0.5 mn"
negative,17 march 2011 - goldman sachs estimates that there are negative prospects for the norwegian mobile operations of norway s telenor asa osl : tel and sweden s teliasonera ab sto : tlsn in the short term
negative,"however , the company saw its net profit for the third quarter down to eur 1.4 million from eur 1.5 million for the corresponding period of 2009"
positive,"kai tulonen , chief technology officer , sysopen digia says : we have been using corporate phonebook inside sysopen digia extensively since last fall , and we have been very satisfied with the results"
neutral,net_sales are expected to remain on the same level as in 2007
neutral,"exel composites in brief exel composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications"
neutral,"in april 2005 , neste separated from its parent company , finnish energy company fortum , and became listed on the helsinki stock exchange"
positive,finnish food company raisio oyj hel : raivv said today it will buy british snacks and confectionery company big bear group plc for an enterprise value of eur 95.3 million usd 129.9 m
neutral,the desk will reach its full planned strength of ten persons in autumn 2007
neutral,"kesko has about 2 , 000 stores engaged in chain operations in the nordic and baltic countries , russia , and belarus"
neutral,pohjola will act as the manager of the issue and the bond will be listed on nasdaq omx helsinki ltd .
positive,"finnish cargotec s kalmar , the business area providing container handling solutions , has been awarded an order for a further ten e-one rubber-tyred gantry rtg cranes from saigon newport company snp , in vietnam"
neutral,"poyry plccompany announcement 10 december 2010 at 4.10 p.m. pursuant to poyry plc s stock option program 2004 , 63792 new shares of the company have been subscribed since 27 october 2010 with stock options 2004 b"
neutral,delivery is expected to take place later this month
neutral,"nokia will continue to invest in future development of qt , and digia will be responsible for commercial licensing and services business"
neutral,the contract is for next year
neutral,"leed is an internationally recognized green building certification system , developed by the u.s. green building council"
positive,"the company s consolidated operating_profit amounted to eur 15.86 mn , up from eur 4.14 mn year-on-year"
positive,major order in india comptel corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in india
positive,"continuing operations turned an operating_loss of eur 0.1 mn , a slight improvement from a loss of eur 0.2 mn a year earlier"
neutral,the bank vtb 24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles
positive,"operating_profit totaled eur 5.5 mn , up from eur -0.7 mn"
neutral,"patrick jeambar will also continue being responsible for innovation and health , safety and environment hsea functions of ahlstrom corporation"
neutral,fortum is now considering taking part in nuclear energy projects outside of finland
neutral,"itg s share in the deal is estimated at some 500 , 000 euro $ 627 , 000"
neutral,as a consequence the works council had withdrawn its petition to suspend the reorganisation
positive,"section : regional news - the demand in finnair s asian traffic , measured in passenger kilometers , was up 34.9 % in august compare to last year"
positive,"instead , elcoteq has signed a non-binding letter of intent with another asian strategic investor"
positive,"the new structure provides better communication , faster decision-making and cost savings , proha said"
positive,"as a result , the distribution companies will start to distribute , in addition to their current product offering , shimano reels , rods and other shimano fishing tackle products on an exclusive basis"
neutral,the total capacity of the factory will be approximately 100 engines a year
positive,"both operating_profit and net_sales for the three-month period increased , respectively from eur 16.0 m and eur 139 m , as compared to the corresponding quarter in 2006"
neutral,"technopolis plans to develop in stages an area of no less than 100 , 000 square meters in order to host companies working in computer technologies and telecommunications , the statement said"
neutral,"finland s technopolis is planning to bring the first section of a technopark on stream in st. petersburg at the end of 2008 , kari mikkonen , vice president of technopolis , told reporters in helsinki"
positive,"due to rapid expansion , the market_share of tallink in terms of passenger carriage through tallinna sadam port of tallinn totaled 55 percent in november against 45.7 percent in november 2005"
neutral,net_sales of the lehdentekijat unit was approximately eur 14 million in 2007 and it had 70 employees
neutral,"on preliminary estimate , the hotel will operate under the brand novotel"
negative,"operating_loss totalled eur 4.0 mn , compared to a profit of eur 8.6 mn in the second quarter of 2008"
